商品主标题,商品副标题,商品价格,商品主图,商品详情链接
30 Montaigne 箱型手袋,蓝色提花 Oblique 印花,"¥18,500",https://media.dior.cn/img/zh_CN/sku/couture/S2141UTZQ_M928_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/S2141UTZQ_M928-30-montaigne-box-bag-blue-multicolor-dior-oblique-jacquard?objectID=S2141UTZQ_M928&query=%E5%8C%85%E5%8C%85&queryID=8fe39f0d66fa390ced86bdfe427f6303
30 Montaigne East-West 链条手袋,蓝色 Oblique 印花,"¥24,500",https://media.dior.cn/img/zh_CN/sku/couture/M9334UTZQ_M928_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M9334UTZQ_M928-30-montaigne-east-west-bag-with-chain-blue-dior-oblique-jacquard?objectID=M9334UTZQ_M928&query=%E5%8C%85%E5%8C%85&queryID=8fe39f0d66fa390ced86bdfe427f6303
迷你 Lady Dior 手袋,黑色哑光牛皮革藤格纹,"¥39,500",https://media.dior.cn/img/zh_CN/sku/couture/M0505SLOI_M989_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M0505SLOI_M989-mini-lady-dior-bag-black-ultramatte-cannage-calfskin?objectID=M0505SLOI_M989&query=%E5%8C%85%E5%8C%85&queryID=8fe39f0d66fa390ced86bdfe427f6303
Lady Dior 手拿包,黑色羊皮革藤格纹搭配顶部手柄,"¥18,500",https://media.dior.cn/img/zh_CN/sku/couture/S0980ONMJ_M900_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/S0980ONMJ_M900-lady-dior-top-handle-clutch-black-cannage-lambskin?objectID=S0980ONMJ_M900&query=%E5%8C%85%E5%8C%85&queryID=8fe39f0d66fa390ced86bdfe427f6303
30 Montaigne East-West 链条手袋,黑色牛皮革,"¥24,500",https://media.dior.cn/img/zh_CN/sku/couture/M9334UHEL_M900_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M9334UHEL_M900-30-montaigne-east-west-bag-with-chain-black-calfskin?objectID=M9334UHEL_M900&query=%E5%8C%85%E5%8C%85&queryID=8fe39f0d66fa390ced86bdfe427f6303
30 Montaigne East-West 链条手袋,奶白色牛皮革,"¥24,500",https://media.dior.cn/img/zh_CN/sku/couture/M9334UHEL_M030_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M9334UHEL_M030-30-montaigne-east-west-bag-with-chain-latte-calfskin?objectID=M9334UHEL_M030&query=%E5%8C%85%E5%8C%85&queryID=8fe39f0d66fa390ced86bdfe427f6303
小号 Book Tote 手袋,白色面料多色 Dior Jardin Botanique 图案刺绣 (26.5 x 21 x 14 cm),"¥24,500",https://media.dior.cn/img/zh_CN/sku/couture/M1265ZRZB_M884_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M1265ZRZB_M884-small-dior-book-tote-white-multicolor-dior-jardin-botanique-embroidery-26.5-x-21-x-14-cm?objectID=M1265ZRZB_M884&query=%E5%8C%85%E5%8C%85&queryID=8fe39f0d66fa390ced86bdfe427f6303
Lady Dior 链条手袋,牡丹粉色羊皮革藤格纹,"¥18,500",https://media.dior.cn/img/zh_CN/sku/couture/S0937ONMJ_M81P_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/S0937ONMJ_M81P-lady-dior-chain-pouch-peony-pink-cannage-lambskin?objectID=S0937ONMJ_M81P&query=%E5%8C%85%E5%8C%85&queryID=8fe39f0d66fa390ced86bdfe427f6303
中号 Book Tote 手袋,白色面料多色 Dior Jardin Botanique 图案刺绣 (36 x 27.5 x 16.5 cm),"¥25,500",https://media.dior.cn/img/zh_CN/sku/couture/M1296ZRZB_M884_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M1296ZRZB_M884-medium-dior-book-tote-white-multicolor-dior-jardin-botanique-embroidery-36-x-27.5-x-16.5-cm?objectID=M1296ZRZB_M884&query=%E5%8C%85%E5%8C%85&queryID=8fe39f0d66fa390ced86bdfe427f6303
商品主标题,商品副标题,商品价格,商品主图,商品详情链接
30 Montaigne 箱型手袋,蓝色提花 Oblique 印花,"¥18,500",https://media.dior.cn/img/zh_CN/sku/couture/S2141UTZQ_M928_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/S2141UTZQ_M928-30-montaigne-box-bag-blue-multicolor-dior-oblique-jacquard?objectID=S2141UTZQ_M928&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
30 Montaigne East-West 链条手袋,蓝色 Oblique 印花,"¥24,500",https://media.dior.cn/img/zh_CN/sku/couture/M9334UTZQ_M928_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M9334UTZQ_M928-30-montaigne-east-west-bag-with-chain-blue-dior-oblique-jacquard?objectID=M9334UTZQ_M928&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
迷你 Lady Dior 手袋,黑色哑光牛皮革藤格纹,"¥39,500",https://media.dior.cn/img/zh_CN/sku/couture/M0505SLOI_M989_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M0505SLOI_M989-mini-lady-dior-bag-black-ultramatte-cannage-calfskin?objectID=M0505SLOI_M989&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
Lady Dior 手拿包,黑色羊皮革藤格纹搭配顶部手柄,"¥18,500",https://media.dior.cn/img/zh_CN/sku/couture/S0980ONMJ_M900_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/S0980ONMJ_M900-lady-dior-top-handle-clutch-black-cannage-lambskin?objectID=S0980ONMJ_M900&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
30 Montaigne East-West 链条手袋,黑色牛皮革,"¥24,500",https://media.dior.cn/img/zh_CN/sku/couture/M9334UHEL_M900_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M9334UHEL_M900-30-montaigne-east-west-bag-with-chain-black-calfskin?objectID=M9334UHEL_M900&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
30 Montaigne East-West 链条手袋,奶白色牛皮革,"¥24,500",https://media.dior.cn/img/zh_CN/sku/couture/M9334UHEL_M030_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M9334UHEL_M030-30-montaigne-east-west-bag-with-chain-latte-calfskin?objectID=M9334UHEL_M030&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
小号 Book Tote 手袋,白色面料多色 Dior Jardin Botanique 图案刺绣 (26.5 x 21 x 14 cm),"¥24,500",https://media.dior.cn/img/zh_CN/sku/couture/M1265ZRZB_M884_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M1265ZRZB_M884-small-dior-book-tote-white-multicolor-dior-jardin-botanique-embroidery-26.5-x-21-x-14-cm?objectID=M1265ZRZB_M884&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
Lady Dior 链条手袋,牡丹粉色羊皮革藤格纹,"¥18,500",https://media.dior.cn/img/zh_CN/sku/couture/S0937ONMJ_M81P_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/S0937ONMJ_M81P-lady-dior-chain-pouch-peony-pink-cannage-lambskin?objectID=S0937ONMJ_M81P&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
中号 Book Tote 手袋,白色面料多色 Dior Jardin Botanique 图案刺绣 (36 x 27.5 x 16.5 cm),"¥25,500",https://media.dior.cn/img/zh_CN/sku/couture/M1296ZRZB_M884_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M1296ZRZB_M884-medium-dior-book-tote-white-multicolor-dior-jardin-botanique-embroidery-36-x-27.5-x-16.5-cm?objectID=M1296ZRZB_M884&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
Lady Dior 手拿包,奶白色羊皮革藤格纹搭配顶部手柄,"¥18,500",https://media.dior.cn/img/zh_CN/sku/couture/S0980ONMJ_M030_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/S0980ONMJ_M030-lady-dior-top-handle-clutch-latte-cannage-lambskin?objectID=S0980ONMJ_M030&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
中号 Lady D-Lite 手袋,金色金属光泽线 Dior Jardin d'Hiver 图案刺绣,"¥34,500",https://media.dior.cn/img/zh_CN/sku/couture/M0565ORZF_M981_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M0565ORZF_M981-medium-lady-d-lite-bag-dior-jardin-d-hiver-embroidery-with-gold-tone-metallic-thread?objectID=M0565ORZF_M981&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
小号 Nomad 手袋,黑色牛皮革超大藤格纹,"¥24,500",https://media.dior.cn/img/zh_CN/sku/couture/M7220UMIG_M900_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M7220UMIG_M900-small-nomad-bag-black-macrocannage-calfskin?objectID=M7220UMIG_M900&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
大号 Book Tote 手袋,黑色面料多色 Dior Jardin Botanique 图案刺绣 (42 x 35 x 18.5 cm),"¥26,500",https://media.dior.cn/img/zh_CN/sku/couture/M1286ZRZB_M911_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M1286ZRZB_M911-large-dior-book-tote-black-multicolor-dior-jardin-botanique-embroidery-42-x-35-x-18.5-cm?objectID=M1286ZRZB_M911&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
小号 Diorcamp 手袋,金色金属光泽线 Dior Jardin d'Hiver 图案刺绣,"¥27,000",https://media.dior.cn/img/zh_CN/sku/couture/M1241ORZF_M981_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M1241ORZF_M981-small-diorcamp-bag-dior-jardin-d-hiver-embroidery-with-gold-tone-metallic-thread?objectID=M1241ORZF_M981&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
中号 Book Tote 手袋,胭脂粉色 Dior Jardin Botanique 图案刺绣 (36 x 27.5 x 16.5 cm),"¥25,500",https://media.dior.cn/img/zh_CN/sku/couture/M1296ZRYZ_M973_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/M1296ZRYZ_M973-medium-dior-book-tote-powder-pink-dior-jardin-botanique-embroidery-36-x-27.5-x-16.5-cm?objectID=M1296ZRYZ_M973&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
Dior Lock 箱形手袋,迪奥灰帆布 CD Diamond 图案,"¥37,000",https://media.dior.cn/img/zh_CN/sku/couture/1LXBR163CDP_H42E_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/1LXBR163CDP_H42E-dior-lock-case-dior-gray-cd-diamond-canvas?objectID=1LXBR163CDP_H42E&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
Lady Dior 手拿包,绯红色羊皮革藤格纹搭配顶部手柄,"¥18,500",https://media.dior.cn/img/zh_CN/sku/couture/S0980ONMJ_M57R_TU?imwidth=460,https://www.dior.cn/zh_cn/fashion/products/S0980ONMJ_M57R-lady-dior-top-handle-clutch-scarlet-red-cannage-lambskin?objectID=S0980ONMJ_M57R&query=%E5%8C%85%E5%8C%85&queryID=c41724000d2ca28d39ff754af623d596
