所属模块,接口描述,接口路径
['活动管理'],列出活动：可以所有参数都不传,/activity/list
['分销管理'],分页查询分销列表,/affiliate/commission/list
['分销管理'],查询分销赚取信息,/affiliate/commission/payout
['分销管理'],创建分销链接,/affiliate/link/create
['分销管理'],分页查询分销链接（分销链接）列表,/affiliate/link/list
['分销管理'],分页查询广告主（品牌商）列表,/affiliate/offer/list
['分销管理'],推荐分销商品列表,/affiliate/product/list
['分销管理'],查询用户提现账号,/affiliate/withdraw/account
['分销管理'],提现申请,/affiliate/withdraw/apply
['分销管理'],分页查询提现列表,/affiliate/withdraw/list
['OAuth2授权'],获取授权码并重定向,/code_callback
['配置管理'],查询省份配置列表,/config/country/library/list
['配置管理'],查询国家配置列表,/config/country/list
['配置管理'],查询枚举定义列表,/config/enums/list
['配置管理'],ip-国家转换接口,/config/ip2country
['配置管理'],查询时区配置列表,/config/timezone/list
['设计管理'],查询设计背景列表,/design/background/list
['设计管理'],查询设计按钮列表,/design/button/list
['设计管理'],查询设计定义,/design/config
['设计管理'],查询设计字体列表,/design/font/list
['设计管理'],查询设计主题列表,/design/theme/list
['事件查询'],查询某个用户某个url的浏览、点击事件统计7天明细,/event/last7Day/detail
['事件查询'],查询某个用户某个url的某个属性top3访问量,/event/last7Day/top3
['事件查询'],查询某个用户某个url的浏览、点击事件总览,/event/overview
['事件查询'],查询某个用户的所有url的总览,/event/user/lifetime
['主页管理'],表单链接填写提交,/home/link/form/submit
['主页管理'],查询用户链接详细信息,/home/link/get
['主页管理'],查询用户链接列表信息,/home/link/list
['主页管理'],查询用户信息,/home/user
['图片平台管理'],图片平台授权,/image_plat/grant
['图片平台管理'],取消图片平台授权,/image_plat/grant/cancel
['图片平台管理'],获取授权平台列表,/image_plat/grant/list
['图片平台管理'],获取图片媒体信息,/image_plat/media/detail
['图片平台管理'],查询授权回调地址,/image_plat/oauth
['链接管理'],联系链接-更新联系链接,/link/contact/update
['链接管理'],优惠码链接-更新优惠码链接信息,/link/coupon/update
['链接管理'],表单链接-更新表单链接,/link/form/update
['链接管理'],基础链接-查询链接详细信息,/link/get
['链接管理'],图片链接-删除图片链接数据,/link/image/del
['链接管理'],图片链接-查询图片链接数据,/link/image/get
['链接管理'],图片链接-更新图片优先级,/link/image/priority
['链接管理'],图片链接-更新图片链接图片数据,/link/image/save
['链接管理'],图片链接-更新图片链接基础数据,/link/image/update
['链接管理'],基础链接-分页查询链接列表,/link/list
['链接管理'],地图链接-更新地图链接信息,/link/location/update
['链接管理'],商品链接-批量新增产品,/link/product/product_item/batch_save
['链接管理'],商品链接-删除产品,/link/product/product_item/delete
['链接管理'],商品链接-查询产品列表,/link/product/product_item/list
['链接管理'],商品链接-交换产品优先级,/link/product/product_item/priority
['链接管理'],商品链接-新增产品,/link/product/product_item/save
['链接管理'],商品链接-更新商品链接,/link/product/update
['链接管理'],基础链接-保存链接信息,/link/save
['链接管理'],店铺链接-查询店铺链接关联店铺和店铺选择产品信息,/link/store/get
['链接管理'],店铺链接-更新店铺产品优先级,/link/store/product/priority
['链接管理'],店铺链接-更新店铺链接,/link/store/update
['链接管理'],基础链接-更新链接图标,/link/update/icon_url
