商品标题,商品价格,店铺名称,购买人数,地点,商品图片链接,商品详情链接,店铺链接
秋装新款2022女装连衣裙长袖方领碎花气质女神范收腰显瘦长裙子潮,52.68,空白格_依,35人付款,广东 广州,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i2/44520395/O1CN013YcXdW1EmxE14bksJ_!!0-saturn_solar.jpg,https://click.simba.taobao.com/cc_im?p=%C1%AC%D2%C2%C8%B9%C5%AE&s=1990155575&k=781&e=efxFfUIVbQNueKWmmrpCd4bPCuQIPNvoGgjG9t0pjGgEdubxmqWkOnrZ%2Fef3qxIKV%2FqUlD2IgZPYIElXvMdAYn91mX1M2Z4oAIQ2ZeL80wc2G%2BiAI17P5cGs8fXSQdKjijRHQ9PwLkeM08m5EJ194vT%2BQ%2B2OY0OqAEGejoYjWTO%2Bvfv62dApOykdq%2BayF2w2VDX56sOVThEVpSo%2F3YjHvIvHRpbHDAZRHUlExRdlvHe9TSJuWqLtM796gbyhfIkbnWZT%2FCGbg2yd5lCFhlLeOApNLP1zLyTmU%2FtPC%2B6fqRnJSzT6xE2oKACNGy1r9mXfbXFiUotLdMh8L0XYORnjWwACSw1FgFxoi52pNJZ2j3UvuwUEfHQiqTr0M7u%2BSBS%2BjfceU53ngwYmowjFQX9gcbpkouP7srgqcIv6Xw0xt5mtLGaFQoFYqclLNPrETagoAVijcMK2wlm%2FeoG8oXyJG51mU%2Fwhm4NsimaEif0T%2BITxad0JQelRHVvnfc8OJjpKoh2N2ChOKInO%2BrO4IpeNTkKrz3ViUWT1jEwP42WoMh5jCHsANi7WgT4sze58%2BenbMSr%2BgFnmEwWYSbCwdoKGK8Fra4AOOBCt76Is7X4DPDpNi%2F1UYdn36oZzbVQRGEKhJPTiTAn5Tdihj0PRR6EGhP4DGQbbblN9eF%2FAHh9fQ3sra2UZhZkOIewtQcrAUJb7Aj3J5DIBzt7v3Pr1s%2B881j8VSssnkMc2l%2BRl1yPW6Dt4jX7fc4xgrhdiyVPGsWhKHOKTgNrQMU8%3D#detail,https://click.simba.taobao.com/cc_im?p=%C1%AC%D2%C2%C8%B9%C5%AE&s=1990155575&k=761&e=aCt9zrvWPGVueKWmmrpCd4bPCuQIPNvoGgjG9t0pjGgEdubxmqWkOnrZ%2Fef3qxIKV%2FqUlD2IgZMlcOBRDmWBlX91mX1M2Z4oAIQ2ZeL80wc2G%2BiAI17P5cGs8fXSQdKjijRHQ9PwLkeM08m5EJ194vT%2BQ%2B2OY0OqAEGejoYjWTO%2Bvfv62dApOykdq%2BayF2w2VDX56sOVThEVpSo%2F3YjHvIvHRpbHDAZRHUlExRdlvHe9TSJuWqLtM796gbyhfIkbnWZT%2FCGbg2yd5lCFhlLeOApNLP1zLyTmU%2FtPC%2B6fqRnJSzT6xE2oKACNGy1r9mXfbXFiUotLdMh8L0XYORnjWwACSw1FgFxoi52pNJZ2j3UvuwUEfHQiqS69JNPa%2B%2BEc9ncpcDSMKzBpal42kh3ubNF7A7Y0LKSsVJNugbMqFMNrjq3LQvEdQi1HCRnMI%2BtdfFJ6%2FV3b6vzaHMkQ6Eb4DeVA%2BhNXN78Fc3qaBU5ppZUpMRP%2FJWOHf7YwKabd4CPqFqPfeIoIbWQ0DhPhTK3Cq6jzezKbaLUlPCiSTmSQRfvAF%2BSLQVQULD9v7oLB2xzpkzGuIOylPKPMQZNMmTdW1SEHQaHU0v%2BxMSrOyVVsUlZ2kqK1721Oa0kBJ%2FQo4G2nkPhXc3F2AXXQPhEigY9i5%2FZWGYk7bz7%2BX8ZVSHYWATCOI%2F%2BrlSWGqMlcq0gzXNw3ZD2lD6y64I%2FuGzXc143%2F%2BS6%2BdWZCotPQTgkVmr68wphqBGjh00m3iQ%3D%3D
早秋款连衣裙2022女装法式长袖镂空小众设计感拼接气质显瘦长裙子,47.68,空白格_依,42人付款,广东 广州,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/44520395/O1CN01VXhjR31EmxDo1YNit_!!0-saturn_solar.jpg,https://click.simba.taobao.com/cc_im?p=%C1%AC%D2%C2%C8%B9%C5%AE&s=1990155575&k=781&e=IIDXWJ3BGwJueKWmmrpCd4bPCuQIPNvoGgjG9t0pjGgEdubxmqWkOnrZ%2Fef3qxIKV%2FqUlD2IgZPYIElXvMdAYmjzzbDS%2BRiGAIQ2ZeL80wc2G%2BiAI17P5cGs8fXSQdKjijRHQ9PwLkeM08m5EJ194vT%2BQ%2B2OY0OqAEGejoYjWTO%2Bvfv62dApOykdq%2BayF2w2VDX56sOVThEVpSo%2F3YjHvIvHRpbHDAZRHUlExRdlvHe9TSJuWqLtM796gbyhfIkbnWZT%2FCGbg2yd5lCFhlLeOApNLP1zLyTmYw4ojbxaTwIqCWt68nLIKQCNGy1r9mXfjsFgN3s%2FmjIyorUXlRZ1Bu8%2BR71UCIV8c79uQfj1T%2F6aLjsI9a7cJDr0M7u%2BSBS%2BjfceU53ngwYmowjFQX9gcbpkouP7srgqcIv6Xw0xt5nGbkNZH0hs1ioJa3rycsgpAVijcMK2wlm%2FeoG8oXyJG51mU%2Fwhm4Nszl6o2AcEAqVVfmlTLadZFrnJyymTH8cWxCN3QB1T3t8fTW8Kn7L47lbyFcz1w9FwwHZ15xgwL075pfIBWvPxF%2Flji9%2F7%2F8YxM96orX6Uoh61C8KND8Fs%2Bsx38xlZ6y9Nx4Hag3wWan5CHc5iJ%2BSIzM9wyIXbyoqD49YzQOFHtv77WpV6nLfqVXcbxvZTm3YQKBVngEb7iFlrHZ%2FB4TNl2J8ImiKW2JMd%2BZdqa6p3tyE3%2F1upLw5GXDx%2B2vAjCzsiXzl4GV%2BR94tDKplVKBIThwhtmacYO6liTVUnUHTT%2F%2FA%3D#detail,https://click.simba.taobao.com/cc_im?p=%C1%AC%D2%C2%C8%B9%C5%AE&s=1990155575&k=761&e=jU2xNqgoxrBueKWmmrpCd4bPCuQIPNvoGgjG9t0pjGgEdubxmqWkOnrZ%2Fef3qxIKV%2FqUlD2IgZMlcOBRDmWBlWjzzbDS%2BRiGAIQ2ZeL80wc2G%2BiAI17P5cGs8fXSQdKjijRHQ9PwLkeM08m5EJ194vT%2BQ%2B2OY0OqAEGejoYjWTO%2Bvfv62dApOykdq%2BayF2w2VDX56sOVThEVpSo%2F3YjHvIvHRpbHDAZRHUlExRdlvHe9TSJuWqLtM796gbyhfIkbnWZT%2FCGbg2yd5lCFhlLeOApNLP1zLyTmYw4ojbxaTwIqCWt68nLIKQCNGy1r9mXfjsFgN3s%2FmjIyorUXlRZ1Bu8%2BR71UCIV8c79uQfj1T%2F6aLjsI9a7cJC69JNPa%2B%2BEc9ncpcDSMKzBpal42kh3ubNF7A7Y0LKSsVJNugbMqFMNrjq3LQvEdQi1HCRnMI%2Btd1M647%2B8E6NhV6q7xGnJguHGDDwINht1AlKxJql9OiBIhsLaOqS9xswNsgdvZM4s%2F%2F8j1Mv0ZYScyq0hTHrVMd0Uh%2BpNStyuvdNK53%2FlN4gCOrVlRauZK4Ts9%2BymvOTP4JE8Jj421Vcb535ydGfgIzeaSDvSPAligA8%2Fof1svvk95tASu6p3Dvz%2BtRbvoWQ4iyw4gcH3OAJYq5pvTYhWx2xsireKL%2FmFmJfK8%2FaF0Qvi0YR%2FVpyTDtXvEu3fHpUc0ilykB4VZ5sA0Sh70o1xtSyVfH0u9XI5fLeClLTN3YfG4AnLg4LlSuQ%3D%3D
2022秋冬季气质女神范赫本风高级感长袖冷淡风黑色金丝绒连衣裙子,98.00,歌柏芙旗舰店,61人付款,广东 广州,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i2/133265759/O1CN018q5AeR1sPfipOxnMT_!!0-saturn_solar.jpg,https://click.simba.taobao.com/cc_im?p=%C1%AC%D2%C2%C8%B9%C5%AE&s=1990155575&k=781&e=lVYXh2HW%2FNZueKWmmrpCd4bPCuQIPNvoGgjG9t0pjGgEdubxmqWkOnrZ%2Fef3qxIKV%2FqUlD2IgZOooookAJ8XCBDGZk71mwv6AIQ2ZeL80wc2G%2BiAI17P5cGs8fXSQdKjijRHQ9PwLkeM08m5EJ194vT%2BQ%2B2OY0OqAEGejoYjWTO%2Bvfv62dApOykdq%2BayF2w2VDX56sOVThEVpSo%2F3YjHvIvHRpbHDAZRHUlExRdlvHe9TSJuWqLtM796gbyhfIkbnWZT%2FCGbg2yd5lCFhlLeOApNLP1zLyTm%2BRBWwwqsSpjtSQAmpA6qfhuH%2Fh9U8Kk%2BpsI5fq96VU5%2FVOc9A%2FE%2BAFHy5htUf%2FmsM%2B3QdifMiWGQ4Pu8iRo9niDbXgmAQcGy74lk6yTyYkJ1Y%2BwGmpWfe9gKp6CMJHCAI9sOvIPUFI%2FfyJWYHUDfaXcdxDQ5vg6g01Ljv1Qtqtdrjq3LQvEdQi1HCRnMI%2BtdfFJ6%2FV3b6vxViTRyCE%2FRrEWXSuNUV6801BW6ewjNuMFEZ0%2F0MTzdWD5yPv1%2FOBcK2B77l870GlfaLQt2q8dWKbixmvEsxBkY5oC2xPJZi6Kzw%2F3O4Pih2rYcyemx0dIj%2BimcnNbqsy39YCEVsSELdVlCumSapWpyqPw2X%2BF6BGTHfw1P2EJvrjXN2j90wudu2Q%2F8Fz6M4O2rpf1eMHq1KscCX8mkaJM63SFtp%2FXYmlBpjv0rv2u5BYxwhgoF4M10ZDVQ4OgG2UddjAE8mmzzd8efKLhpddSknDazUHgaVPU%3D,https://click.simba.taobao.com/cc_im?p=%C1%AC%D2%C2%C8%B9%C5%AE&s=1990155575&k=737&e=oeC76AdWmLtueKWmmrpCd4bPCuQIPNvoGgjG9t0pjGgEdubxmqWkOnrZ%2Fef3qxIKV%2FqUlD2IgZMjsFmObdUNgBDGZk71mwv6AIQ2ZeL80wc2G%2BiAI17P5cGs8fXSQdKjijRHQ9PwLkeM08m5EJ194vT%2BQ%2B2OY0OqAEGejoYjWTO%2Bvfv62dApOykdq%2BayF2w2VDX56sOVThEVpSo%2F3YjHvIvHRpbHDAZRHUlExRdlvHe9TSJuWqLtM796gbyhfIkbnWZT%2FCGbg2yd5lCFhlLeOApNLP1zLyTm%2BRBWwwqsSpjtSQAmpA6qfhuH%2Fh9U8Kk%2BpsI5fq96VU5%2FVOc9A%2FE%2BAFHy5htUf%2FmsM%2B3QdifMiWGQ4Pu8iRo9nviDN9zPnJk%2BriprrWRqq2i9DJ7d6bGT2JhkByPLpuYj%2B0GQnKY7dVGwFbSQWgLLSi76Mz634PzVMX5213e2NlJwZac3QegfOjqhT%2BJJfR8t%2FIIadp4REMUEM3LnGPVUaxzqGCONwJV9%2BaXyAVrz8Rf5Y4vf%2B%2F%2FGMV1kBaHSJo1ZtQvCjQ%2FBbPrMd%2FMZWesvTceB2oN8Fmp%2BQh3OYifkiMzPcMiF28qKg%2BPWM0DhR7b%2B%2B1qVepy36lV3G8b2U5t2ECgVZ4BG%2B4hZax2fweEzZdifCJoiltiTHVjzj8mbchqzH1y3JxpukGY8ftrwIws7Il85eBlfkfeLQyqZVSgSE4cIbZmnGDupYk1VJ1B00%2F%2Fw
茵曼复古拼接连衣裙女2022冬新款半高领长袖打底衫收腰a字半身裙,259.00,茵曼旗舰店,3000+人付款,广东 佛山,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/130974249/O1CN01k7Pv1S1hG5g0qQBU3_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=682205494178&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=130974249
歌依妮加绒蕾丝连衣裙女冬2022新款小个子高级感法式独特别致长裙,139.90,歌依妮旗舰店,51人付款,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/1921841240/O1CN0121WnaA1L1xul1VW3T_!!1921841240.jpg,//detail.tmall.com/item.htm?id=688771105094&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=1921841240
ONLY冬季新款法式收腰遮肉显瘦中长丝绒吊带连衣裙女|122307026,249.00,only官方旗舰店,1000+人付款,天津,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/356060330/O1CN01B48VEt1EJBUiB1s33-356060330.jpg,//detail.tmall.com/item.htm?id=679505870313&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=356060330
歌依妮法式方领连衣裙女秋季气质小香风打底毛衣裙子网纱针织长裙,129.90,歌依妮旗舰店,200+人付款,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/1921841240/O1CN014M8bzZ1L1xulblqs4_!!1921841240.jpg,//detail.tmall.com/item.htm?id=659095215290&ns=1&abbucket=1,//store.taobao.com/shop/view_shop.htm?user_number_id=1921841240
Nininio顶楼千金 黑色针织连衣裙女秋气质绑带露肩小众设计感裙子,209.00,ninininio,2000+人付款,浙江 杭州,//g-search1.alicdn.com/img/bao/uploaded/i4/i2/2210318892988/O1CN01AUnDGr1XwYDkkpnub_!!2210318892988.jpg,//item.taobao.com/item.htm?id=683473651618&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=2210318892988
EGGKA杏色POLO领加绒连衣裙女内搭2022秋冬气质中长款打底长裙子,139.90,东方流行前线,1万+人付款,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/84269898/O1CN01GWYVNf2MzL3Il70fa_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=685978606437&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=84269898
EIA一尧【姐姐来了】新中式复古挂脖连衣裙女秋冬针织毛衣两件套,109.00,魅影mylove,3000+人付款,广东 广州,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/891295387/O1CN01YLKh3T1pfIOUHTk8M_!!891295387.jpg,//item.taobao.com/item.htm?id=686060610562&ns=1&abbucket=1#detail,//store.taobao.com/shop/view_shop.htm?user_number_id=891295387
